epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
26,11935.2,0.89596,0.58876,0.92757,0.76929,0.67808,0.74118,0.49726,0.88603,0.67234,0.92372,6.0095e-05,6.0095e-05,6.0095e-05
27,12405.3,0.89515,0.58682,0.92569,0.76902,0.67738,0.74535,0.50111,0.8855,0.65567,0.92533,5.77388e-05,5.77388e-05,5.77388e-05
28,12870.3,0.87601,0.58053,0.92248,0.74969,0.68153,0.74109,0.49882,0.88264,0.66551,0.92347,5.53826e-05,5.53826e-05,5.53826e-05
29,13343.6,0.88198,0.61873,0.92786,0.77208,0.67854,0.74007,0.49809,0.88387,0.6623,0.92295,5.30264e-05,5.30264e-05,5.30264e-05
30,13811.8,0.89103,0.58427,0.93046,0.73394,0.69767,0.74963,0.50974,0.88117,0.65483,0.92098,5.06702e-05,5.06702e-05,5.06702e-05
31,14286.3,0.88912,0.58529,0.92586,0.79841,0.6633,0.74644,0.50274,0.88487,0.66085,0.92364,4.8314e-05,4.8314e-05,4.8314e-05
32,14766.6,0.88608,0.56776,0.91916,0.71104,0.70427,0.74394,0.50131,0.88237,0.66379,0.92185,4.59578e-05,4.59578e-05,4.59578e-05
33,15239.7,0.88728,0.57453,0.92156,0.77564,0.67561,0.74531,0.50117,0.87444,0.65468,0.92235,4.36016e-05,4.36016e-05,4.36016e-05
34,15707,0.88187,0.57871,0.92124,0.76855,0.66909,0.74195,0.50039,0.8746,0.65649,0.92196,4.12454e-05,4.12454e-05,4.12454e-05
35,16174,0.86758,0.55815,0.92271,0.74623,0.68475,0.74292,0.50565,0.87369,0.65871,0.9236,3.88892e-05,3.88892e-05,3.88892e-05
36,16642.2,0.87687,0.57027,0.91887,0.78792,0.66294,0.75232,0.50907,0.8764,0.65229,0.92134,3.6533e-05,3.6533e-05,3.6533e-05
37,17119.8,0.87014,0.56652,0.92104,0.80449,0.66693,0.75296,0.51443,0.87295,0.65057,0.92134,3.41768e-05,3.41768e-05,3.41768e-05
38,17588.8,0.86634,0.56648,0.92269,0.79537,0.66828,0.75221,0.5101,0.87514,0.65871,0.9249,3.18206e-05,3.18206e-05,3.18206e-05
39,18060.6,0.88338,0.56644,0.92237,0.81711,0.65972,0.75228,0.51117,0.87942,0.65531,0.92274,2.94644e-05,2.94644e-05,2.94644e-05
40,18454.3,0.87086,0.57392,0.92089,0.75609,0.70976,0.75662,0.51302,0.87373,0.64438,0.92235,2.71082e-05,2.71082e-05,2.71082e-05
41,18826,0.89409,0.60589,0.91793,0.77501,0.67393,0.72595,0.4846,0.88795,0.68632,0.92736,2.4752e-05,2.4752e-05,2.4752e-05
42,19244.6,0.87222,0.54851,0.90873,0.81313,0.63702,0.72606,0.48533,0.88487,0.68523,0.9284,2.23958e-05,2.23958e-05,2.23958e-05
43,19694.9,0.86133,0.53616,0.90723,0.75128,0.68378,0.73543,0.49457,0.88422,0.67836,0.92754,2.00396e-05,2.00396e-05,2.00396e-05
44,20143.4,0.855,0.52974,0.90085,0.83206,0.62435,0.7341,0.49548,0.8831,0.68295,0.92727,1.76834e-05,1.76834e-05,1.76834e-05
45,20523.5,0.85408,0.53073,0.90595,0.73898,0.68765,0.74082,0.49786,0.88068,0.67542,0.92627,1.53272e-05,1.53272e-05,1.53272e-05
46,20915.9,0.85659,0.54542,0.90801,0.71824,0.69863,0.74145,0.49955,0.87877,0.66786,0.92524,1.2971e-05,1.2971e-05,1.2971e-05
47,21367.7,0.84845,0.52516,0.8984,0.7455,0.69315,0.74665,0.50292,0.87906,0.6612,0.92586,1.06148e-05,1.06148e-05,1.06148e-05
48,21824.5,0.84718,0.525,0.9032,0.76127,0.69096,0.74801,0.50496,0.87687,0.66148,0.92477,8.2586e-06,8.2586e-06,8.2586e-06
49,22310.5,0.84305,0.5111,0.89938,0.76771,0.6869,0.74859,0.50554,0.87825,0.65933,0.92439,5.9024e-06,5.9024e-06,5.9024e-06
50,22736.8,0.84868,0.52007,0.89796,0.76651,0.68701,0.74632,0.50348,0.87928,0.66104,0.92496,3.5462e-06,3.5462e-06,3.5462e-06
