epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,582.08,1.30849,3.26834,1.16753,0.40644,0.25712,0.28976,0.1916,1.05878,1.59827,1.02092,3.88227e-05,3.88227e-05,3.88227e-05
2,1059.66,1.14895,1.30616,1.05793,0.66285,0.35605,0.41105,0.27872,1.00939,1.01045,0.97734,7.69353e-05,7.69353e-05,7.69353e-05
3,1622.74,1.09461,0.9937,1.01789,0.59834,0.495,0.51632,0.34793,0.99659,0.89463,0.9656,0.000113477,0.000113477,0.000113477
4,2035.06,1.05888,0.88269,0.99895,0.66062,0.5336,0.56994,0.38424,0.972,0.81969,0.96056,0.000111931,0.000111931,0.000111931
5,2417.92,1.01698,0.84316,0.98495,0.63346,0.59128,0.5891,0.39357,0.9529,0.78947,0.95195,0.000109575,0.000109575,0.000109575
6,2805.54,1.01483,0.79422,0.97567,0.68504,0.61878,0.63554,0.43285,0.93723,0.74484,0.94464,0.000107219,0.000107219,0.000107219
7,3204.22,0.98471,0.75675,0.9648,0.71621,0.60903,0.63907,0.4328,0.93482,0.74539,0.94459,0.000104863,0.000104863,0.000104863
8,3654.97,0.97551,0.72058,0.96511,0.65342,0.65333,0.64177,0.43753,0.92525,0.72182,0.94363,0.000102507,0.000102507,0.000102507
9,4079.87,0.97159,0.72124,0.95953,0.72933,0.65015,0.67353,0.45163,0.91618,0.69905,0.93973,0.00010015,0.00010015,0.00010015
10,4543.33,0.95953,0.69776,0.9602,0.68493,0.64783,0.66743,0.45022,0.91587,0.71907,0.93727,9.77942e-05,9.77942e-05,9.77942e-05
11,4970.9,0.95867,0.70239,0.95568,0.68063,0.6647,0.67402,0.45122,0.9171,0.71236,0.94307,9.5438e-05,9.5438e-05,9.5438e-05
12,5391.58,0.94496,0.68502,0.94807,0.74828,0.62305,0.68874,0.45753,0.91425,0.70354,0.94041,9.30818e-05,9.30818e-05,9.30818e-05
13,5852.93,0.93714,0.66214,0.9484,0.71073,0.67187,0.69901,0.46939,0.89551,0.68967,0.93064,9.07256e-05,9.07256e-05,9.07256e-05
14,6233.1,0.93437,0.64832,0.94223,0.72093,0.67742,0.70934,0.47453,0.88771,0.67105,0.92559,8.83694e-05,8.83694e-05,8.83694e-05
15,6670.97,0.93669,0.65005,0.93721,0.73012,0.68076,0.71076,0.4811,0.89281,0.67494,0.9272,8.60132e-05,8.60132e-05,8.60132e-05
16,7160.79,0.92734,0.63568,0.93668,0.73691,0.66144,0.71159,0.47519,0.8953,0.69171,0.93081,8.3657e-05,8.3657e-05,8.3657e-05
17,7717,0.93067,0.65052,0.94297,0.74266,0.67827,0.71738,0.48051,0.90723,0.6747,0.9313,8.13008e-05,8.13008e-05,8.13008e-05
18,8184.16,0.92002,0.62918,0.93329,0.79868,0.65215,0.72692,0.48288,0.89756,0.6699,0.92606,7.89446e-05,7.89446e-05,7.89446e-05
19,8650.3,0.91283,0.62167,0.93578,0.79981,0.6762,0.73881,0.49037,0.88825,0.66829,0.92605,7.65884e-05,7.65884e-05,7.65884e-05
20,9114.12,0.92657,0.61457,0.93393,0.78996,0.6509,0.72724,0.47937,0.90165,0.67101,0.92729,7.42322e-05,7.42322e-05,7.42322e-05
21,9576.66,0.91623,0.61782,0.93153,0.7925,0.66303,0.73963,0.48978,0.8916,0.66921,0.92564,7.1876e-05,7.1876e-05,7.1876e-05
22,10047,0.90936,0.5921,0.9285,0.80547,0.66822,0.74276,0.49359,0.88678,0.67137,0.92555,6.95198e-05,6.95198e-05,6.95198e-05
23,10515.7,0.90666,0.60607,0.92902,0.765,0.67422,0.74012,0.49954,0.88521,0.66525,0.92495,6.71636e-05,6.71636e-05,6.71636e-05
24,10992.8,0.90081,0.60137,0.93195,0.77818,0.68174,0.74236,0.49112,0.88421,0.66188,0.92378,6.48074e-05,6.48074e-05,6.48074e-05
25,11467,0.90068,0.60296,0.92941,0.80399,0.65849,0.73969,0.49606,0.88138,0.66982,0.92296,6.24512e-05,6.24512e-05,6.24512e-05
